Wavenumbers,Water,Wavenumbers,Potato (raw tuber),Wavenumbers,"Potato (raw tuber, fingerprint region)",Wavenumbers,Water (fingerprint region),Wavenumbers,"Coffee (Arabica extract, freeze-dried, DRIFT sampling, fingerprint region)",Wavenumbers,"Coffee (Robusta extract, freeze-dried, DRIFT sampling, fingerprint region)",Wavenumbers,Red Wine (Australian Cabernet Sauvignon),Wavenumbers,Ethanol,Wavenumbers,"Amylose (type III, from potato)",Wavenumbers,Amylopectin (from potato),Wavenumbers,"Amylose (type III, from potato, fingerprint region)",Wavenumbers,"Amylopectin (from potato, fingerprint region)",Wavenumbers,Ham,Wavenumbers,"Olive oil (extra virgin, Greek)",Wavenumbers,"Olive oil (extra virgin, Greek)",Wavenumbers,"Olive oil (extra virgin, Greek)",Wavenumbers,"Chicken, fresh raw minced",Wavenumbers,"Pork, fresh raw minced",Wavenumbers,"Turkey, fresh raw minced",Wavenumbers,Grapeseed Oil,Wavenumbers,Grapeseed Oil,Wavenumbers,Groundnut oil,Wavenumbers,Groundnut oil,Wavenumbers,Walnut oil,Wavenumbers,Walnut oil,Wavenumbers,Rice bran oil,Wavenumbers,Rice bran oil,Wavenumbers,Corn oil,Wavenumbers,Corn oil,Wavenumbers,Extra Virgin Avocado Oil,Wavenumbers,Extra Virgin Avocado Oil,Wavenumbers,Rapeseed oil,Wavenumbers,Rapeseed oil,Wavenumbers,Sunflower Oil,Wavenumbers,Sunflower Oil,Wavenumbers,Toasted sesame oil,Wavenumbers,Toasted sesame oil,Wavenumbers,Hemp oil,Wavenumbers,Hemp oil,Wavenumbers,Hazelnut oil,Wavenumbers,Hazelnut oil,Wavenumbers,Soya oil,Wavenumbers,Soya oil,Wavenumbers,Sweet almond oil,Wavenumbers,Sweet almond oil,Wavenumbers,Coconut oil,Wavenumbers,Coconut oil,Wavenumbers,Lard,Wavenumbers,Lard,Wavenumbers,Vegetable fat,Wavenumbers,Vegetable fat,Wavenumbers,Caffeine (powder),Wavenumbers,Coffee - Ground roast robusta beans,Wavenumbers,Coffee - Ground roast blend - Decaffeinated
599.763100,0.490308,599.763100,0.528969,599.763100,0.528969,599.763100,0.490308,810.548000,21.227620,810.548000,12.847924,899.327000,0.940919,899.327000,-0.000133,599.763100,0.321779,599.763100,0.449672,599.763100,0.321779,599.763100,0.449672,800.326900,0.215500,798.892000,0.127523,599.763100,0.023639,599.763100,0.023639,1005.349500,0.429797,1005.349500,0.529161691,1005.349500,0.53683346,599.76310000,0.03402465,599.76310000,0.03402465,599.76310000,0.02680398,599.76310000,0.02680398,599.763100,0.037583,599.763100,0.037583,599.763100,0.027466,599.763100,0.027466,599.763100,0.032061,599.763100,0.032061,599.763100,0.025159,599.763100,0.025159,599.763100,0.029423,599.763100,0.029423,599.763100,0.030165,599.763100,0.030165,599.763100,0.030871,599.763100,0.030871,599.763100,0.037618,599.763100,0.037618,599.763100,0.025418,599.763100,0.025418,599.763100,0.029971,599.763100,0.029971,599.763100,0.027049,599.763100,0.027049,599.76310,0.01988,599.76310,0.01988,599.763100,0.020985,599.763100,0.020985,599.763100,0.025853,599.763100,0.025853,899.327,0.050272395,790.202300,0.141217,790.202300,0.153358
600.245200,0.490184,600.245200,0.529540,600.245200,0.529540,600.245200,0.490184,814.408000,21.837509,814.408000,13.198358,903.187000,0.911036,903.187000,-0.003469,600.245200,0.322161,600.245200,0.449696,600.245200,0.322161,600.245200,0.449696,800.809000,0.214966,800.821500,0.127950,600.245200,0.023662,600.245200,0.023662,1007.279000,0.427562,1007.279000,0.52787538,1007.279000,0.534695487,600.24520000,0.03395596,600.24520000,0.03395596,600.24520000,0.02652463,600.24520000,0.02652463,600.245200,0.037682,600.245200,0.037682,600.245200,0.027249,600.245200,0.027249,600.245200,0.032033,600.245200,0.032033,600.245200,0.025042,600.245200,0.025042,600.245200,0.029109,600.245200,0.029109,600.245200,0.030479,600.245200,0.030479,600.245200,0.031153,600.245200,0.031153,600.245200,0.037427,600.245200,0.037427,600.245200,0.025265,600.245200,0.025265,600.245200,0.030024,600.245200,0.030024,600.245200,0.027135,600.245200,0.027135,600.24520,0.01970,600.24520,0.01970,600.245200,0.020862,600.245200,0.020862,600.245200,0.025789,600.245200,0.025789,903.187,0.050221115,790.684400,0.140969,790.684400,0.153517
600.727300,0.490296,600.727300,0.530237,600.727300,0.530237,600.727300,0.490296,818.268000,22.729975,818.268000,13.074410,907.047000,0.883836,907.047000,-0.005160,600.727300,0.322218,600.727300,0.449423,600.727300,0.322218,600.727300,0.449423,801.291100,0.214420,802.751000,0.129282,600.727300,0.023604,600.727300,0.023604,1009.208500,0.426160,1009.208500,0.527413318,1009.208500,0.532925018,600.72730000,0.03381940,600.72730000,0.03381940,600.72730000,0.02622482,600.72730000,0.02622482,600.727300,0.037750,600.727300,0.037750,600.727300,0.027159,600.727300,0.027159,600.727300,0.031948,600.727300,0.031948,600.727300,0.024900,600.727300,0.024900,600.727300,0.028740,600.727300,0.028740,600.727300,0.030779,600.727300,0.030779,600.727300,0.031403,600.727300,0.031403,600.727300,0.037237,600.727300,0.037237,600.727300,0.025109,600.727300,0.025109,600.727300,0.030221,600.727300,0.030221,600.727300,0.027132,600.727300,0.027132,600.72730,0.01953,600.72730,0.01953,600.727300,0.020696,600.727300,0.020696,600.727300,0.025693,600.727300,0.025693,907.047,0.050648633,791.166500,0.140759,791.166500,0.153652
601.209400,0.490720,601.209400,0.530940,601.209400,0.530940,601.209400,0.490720,822.128000,22.517663,822.128000,12.622615,910.907000,0.858382,910.907000,-0.005006,601.209400,0.322144,601.209400,0.449030,601.209400,0.322144,601.209400,0.449030,801.773300,0.213868,804.680500,0.131174,601.209400,0.023455,601.209400,0.023455,1011.138000,0.425148,1011.138000,0.52735258,1011.138000,0.531573992,601.20940000,0.03362002,601.20940000,0.03362002,601.20940000,0.02596603,601.20940000,0.02596603,601.209400,0.037807,601.209400,0.037807,601.209400,0.027184,601.209400,0.027184,601.209400,0.031829,601.209400,0.031829,601.209400,0.024709,601.209400,0.024709,601.209400,0.028364,601.209400,0.028364,601.209400,0.031008,601.209400,0.031008,601.209400,0.031556,601.209400,0.031556,601.209400,0.037072,601.209400,0.037072,601.209400,0.024973,601.209400,0.024973,601.209400,0.030548,601.209400,0.030548,601.209400,0.027059,601.209400,0.027059,601.20940,0.01939,601.20940,0.01939,601.209400,0.020526,601.209400,0.020526,601.209400,0.025560,601.209400,0.025560,910.907,0.050681366,791.648700,0.140620,791.648700,0.153730
601.691600,0.491408,601.691600,0.531465,601.691600,0.531465,601.691600,0.491408,825.988000,21.040178,825.988000,12.008840,914.767000,0.834421,914.767000,-0.005920,601.691600,0.322100,601.691600,0.448672,601.691600,0.322100,601.691600,0.448672,802.255400,0.213313,806.610000,0.133590,601.691600,0.023219,601.691600,0.023219,1013.067500,0.424117,1013.067500,0.526371999,1013.067500,0.53125689,601.69160000,0.03336941,601.69160000,0.03336941,601.69160000,0.02579170,601.69160000,0.02579170,601.691600,0.037849,601.691600,0.037849,601.691600,0.027285,601.691600,0.027285,601.691600,0.031706,601.691600,0.031706,601.691600,0.024473,601.691600,0.024473,601.691600,0.028019,601.691600,0.028019,601.691600,0.031137,601.691600,0.031137,601.691600,0.031569,601.691600,0.031569,601.691600,0.036952,601.691600,0.036952,601.691600,0.024870,601.691600,0.024870,601.691600,0.030958,601.691600,0.030958,601.691600,0.026959,601.691600,0.026959,601.69160,0.01930,601.69160,0.01930,601.691600,0.020390,601.691600,0.020390,601.691600,0.025397,601.691600,0.025397,914.767,0.050043373,792.130800,0.140587,792.130800,0.153753
602.173700,0.492166,602.173700,0.531597,602.173700,0.531597,602.173700,0.492166,829.848000,19.256306,829.848000,11.043038,918.627000,0.811483,918.627000,-0.007862,602.173700,0.322148,602.173700,0.448415,602.173700,0.322148,602.173700,0.448415,802.737500,0.212755,808.539500,0.136426,602.173700,0.022916,602.173700,0.022916,1014.997000,0.423392,1014.997000,0.525564869,1014.997000,0.53097529,602.17370000,0.03308548,602.17370000,0.03308548,602.17370000,0.02571685,602.17370000,0.02571685,602.173700,0.037845,602.173700,0.037845,602.173700,0.027407,602.173700,0.027407,602.173700,0.031602,602.173700,0.031602,602.173700,0.024231,602.173700,0.024231,602.173700,0.027730,602.173700,0.027730,602.173700,0.031161,602.173700,0.031161,602.173700,0.031428,602.173700,0.031428,602.173700,0.036880,602.173700,0.036880,602.173700,0.024802,602.173700,0.024802,602.173700,0.031384,602.173700,0.031384,602.173700,0.026884,602.173700,0.026884,602.17370,0.01928,602.17370,0.01928,602.173700,0.020316,602.173700,0.020316,602.173700,0.025228,602.173700,0.025228,918.627,0.05113527,792.612900,0.140689,792.612900,0.153762
602.655800,0.492729,602.655800,0.531184,602.655800,0.531184,602.655800,0.492729,833.708000,18.517982,833.708000,10.347713,922.487000,0.789294,922.487000,-0.007799,602.655800,0.322269,602.655800,0.448240,602.655800,0.322269,602.655800,0.448240,803.219700,0.212187,810.469000,0.139358,602.655800,0.022575,602.655800,0.022575,1016.926500,0.423145,1016.926500,0.526037733,1016.926500,0.530293531,602.65580000,0.03279888,602.65580000,0.03279888,602.65580000,0.02572841,602.65580000,0.02572841,602.655800,0.037752,602.655800,0.037752,602.655800,0.027493,602.655800,0.027493,602.655800,0.031531,602.655800,0.031531,602.655800,0.024047,602.655800,0.024047,602.655800,0.027503,602.655800,0.027503,602.655800,0.031092,602.655800,0.031092,602.655800,0.031152,602.655800,0.031152,602.655800,0.036841,602.655800,0.036841,602.655800,0.024769,602.655800,0.024769,602.655800,0.031757,602.655800,0.031757,602.655800,0.026870,602.655800,0.026870,602.65580,0.01932,602.65580,0.01932,602.655800,0.020311,602.655800,0.020311,602.655800,0.025080,602.655800,0.025080,922.487,0.052689186,793.095000,0.140930,793.095000,0.153824
603.137900,0.492873,603.137900,0.530206,603.137900,0.530206,603.137900,0.492873,837.568000,18.347773,837.568000,10.009067,926.347000,0.767995,926.347000,-0.008113,603.137900,0.322406,603.137900,0.448096,603.137900,0.322406,603.137900,0.448096,803.701800,0.211604,812.398500,0.142219,603.137900,0.022234,603.137900,0.022234,1018.856000,0.423118,1018.856000,0.526278038,1018.856000,0.530031873,603.13790000,0.03254839,603.13790000,0.03254839,603.13790000,0.02579669,603.13790000,0.02579669,603.137900,0.037544,603.137900,0.037544,603.137900,0.027498,603.137900,0.027498,603.137900,0.031496,603.137900,0.031496,603.137900,0.023977,603.137900,0.023977,603.137900,0.027336,603.137900,0.027336,603.137900,0.030955,603.137900,0.030955,603.137900,0.030786,603.137900,0.030786,603.137900,0.036814,603.137900,0.036814,603.137900,0.024770,603.137900,0.024770,603.137900,0.032024,603.137900,0.032024,603.137900,0.026931,603.137900,0.026931,603.13790,0.01939,603.13790,0.01939,603.137900,0.020359,603.137900,0.020359,603.137900,0.024973,603.137900,0.024973,926.347,0.052452105,793.577100,0.141290,793.577100,0.154003
603.620100,0.492512,603.620100,0.528823,603.620100,0.528823,603.620100,0.492512,841.428000,18.044034,841.428000,9.817839,930.207000,0.747416,930.207000,-0.008997,603.620100,0.322537,603.620100,0.447977,603.620100,0.322537,603.620100,0.447977,804.183900,0.211004,814.328000,0.144805,603.620100,0.021928,603.620100,0.021928,1020.785500,0.423124,1020.785500,0.525883033,1020.785500,0.530288491,603.62010000,0.03237461,603.62010000,0.03237461,603.62010000,0.02588148,603.62010000,0.02588148,603.620100,0.037221,603.620100,0.037221,603.620100,0.027402,603.620100,0.027402,603.620100,0.031490,603.620100,0.031490,603.620100,0.024038,603.620100,0.024038,603.620100,0.027223,603.620100,0.027223,603.620100,0.030785,603.620100,0.030785,603.620100,0.030386,603.620100,0.030386,603.620100,0.036773,603.620100,0.036773,603.620100,0.024803,603.620100,0.024803,603.620100,0.032161,603.620100,0.032161,603.620100,0.027047,603.620100,0.027047,603.62010,0.01946,603.62010,0.01946,603.620100,0.020423,603.620100,0.020423,603.620100,0.024910,603.620100,0.024910,930.207,0.054225437,794.059300,0.141718,794.059300,0.154334
604.102200,0.491754,604.102200,0.527355,604.102200,0.527355,604.102200,0.491754,845.288000,17.735858,845.288000,9.747810,934.067000,0.727483,934.067000,-0.008975,604.102200,0.322702,604.102200,0.447949,604.102200,0.322702,604.102200,0.447949,804.666000,0.210389,816.257500,0.146764,604.102200,0.021683,604.102200,0.021683,1022.715000,0.423600,1022.715000,0.526577858,1022.715000,0.531009915,604.10220000,0.03230300,604.10220000,0.03230300,604.10220000,0.02595041,604.10220000,0.02595041,604.102200,0.036816,604.102200,0.036816,604.102200,0.027211,604.102200,0.027211,604.102200,0.031496,604.102200,0.031496,604.102200,0.024193,604.102200,0.024193,604.102200,0.027158,604.102200,0.027158,604.102200,0.030614,604.102200,0.030614,604.102200,0.029999,604.102200,0.029999,604.102200,0.036705,604.102200,0.036705,604.102200,0.024853,604.102200,0.024853,604.102200,0.032170,604.102200,0.032170,604.102200,0.027171,604.102200,0.027171,604.10220,0.01950,604.10220,0.01950,604.102200,0.020463,604.102200,0.020463,604.102200,0.024876,604.102200,0.024876,934.067,0.054484377,794.541400,0.142152,794.541400,0.154806
